Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Calais,Maine,115,US-Canada Border,08-2022,Trucks,6175,45.189,-67.275,POINT (-67.275381 45.188548)
Warroad,Minnesota,3423,US-Canada Border,05-2016,Buses,52,48.999,-95.377,POINT (-95.376555 48.999)
Laredo,Texas,2304,US-Mexico Border,03-2020,Trucks,203861,27.5,-99.507,POINT (-99.507412 27.499561)
Scobey,Montana,3309,US-Canada Border,07-2020,Trucks,81,49.0,-105.408,POINT (-105.407638 48.999527)
Madawaska,Maine,109,US-Canada Border,10-2019,Trucks,187,47.36,-68.329,POINT (-68.328684 47.360052)
Laredo,Texas,2304,US-Mexico Border,04-1998,Buses,2118,27.5,-99.507,POINT (-99.507412 27.499561)
Del Rio,Texas,2302,US-Mexico Border,05-2020,Trucks,3843,29.327,-100.928,POINT (-100.927612 29.326784)
Sherwood,North Dakota,3414,US-Canada Border,08-2021,Trucks,247,48.999,-101.628,POINT (-101.627527 48.999305)
Beecher Falls,Vermont,206,US-Canada Border,01-2022,Trucks,812,45.013,-71.505,POINT (-71.505309 45.013411)
Roma,Texas,2310,US-Mexico Border,09-2020,Trucks,2212,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,06-2022,Buses,21,26.404,-99.019,POINT (-99.018981 26.403928)
Progreso,Texas,2309,US-Mexico Border,11-2020,Trucks,4165,26.062,-97.95,POINT (-97.949958 26.062133)
Laredo,Texas,2304,US-Mexico Border,11-2021,Trucks,221978,27.5,-99.507,POINT (-99.507412 27.499561)
Lukeville,Arizona,2602,US-Mexico Border,04-2022,Buses,46,31.88,-112.817,POINT (-112.817077 31.880195)
Roma,Texas,2310,US-Mexico Border,04-2019,Trucks,893,26.404,-99.019,POINT (-99.018981 26.403928)
Madawaska,Maine,109,US-Canada Border,02-2001,Buses,11,47.36,-68.329,POINT (-68.328684 47.360052)
Laredo,Texas,2304,US-Mexico Border,04-2020,Buses,1122,27.5,-99.507,POINT (-99.507412 27.499561)
Turner,Montana,3306,US-Canada Border,04-2001,Trains,0,49.0,-108.388,POINT (-108.387916 48.999527)
Scobey,Montana,3309,US-Canada Border,12-2012,Trains,0,49.0,-105.408,POINT (-105.407638 48.999527)
Del Rio,Texas,2302,US-Mexico Border,01-2020,Trucks,6256,29.327,-100.928,POINT (-100.927612 29.326784)
Morgan,Montana,3319,US-Canada Border,03-2022,Trucks,40,49.0,-107.832,POINT (-107.831819 48.999829)
Roma,Texas,2310,US-Mexico Border,01-2021,Bus Passengers,64,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,02-2015,Trucks,611,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,11-2019,Trucks,1210,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,Maine,115,US-Canada Border,05-2015,Trucks,5686,45.189,-67.275,POINT (-67.275381 45.188548)
Laredo,Texas,2304,US-Mexico Border,05-2019,Trains,379,27.5,-99.507,POINT (-99.507412 27.499561)
Raymond,Montana,3301,US-Canada Border,11-1999,Trucks,1407,48.999,-104.574,POINT (-104.574333 48.999194)
Ferry,Washington,3013,US-Canada Border,02-2019,Trucks,4,49.0,-118.761,POINT (-118.761166 49.000083)
Antler,North Dakota,3413,US-Canada Border,12-2020,Trucks,154,48.999,-101.296,POINT (-101.296055 48.999472)
Roma,Texas,2310,US-Mexico Border,11-2021,Trucks,3021,26.404,-99.019,POINT (-99.018981 26.403928)
Houlton,Maine,106,US-Canada Border,08-2020,Trucks,7139,46.135,-67.781,POINT (-67.781288 46.134879)
Calais,Maine,115,US-Canada Border,09-2019,Buses,34,45.189,-67.275,POINT (-67.275381 45.188548)
Laredo,Texas,2304,US-Mexico Border,11-2020,Trucks,212898,27.5,-99.507,POINT (-99.507412 27.499561)
Roma,Texas,2310,US-Mexico Border,02-2014,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Sweetgrass,Montana,3310,US-Canada Border,02-2020,Trains,31,48.998,-111.96,POINT (-111.959611 48.998388)
Roma,Texas,2310,US-Mexico Border,02-1997,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,11-2016,Trucks,649,26.404,-99.019,POINT (-99.018981 26.403928)
Turner,Montana,3306,US-Canada Border,12-2019,Bus Passengers,230,49.0,-108.388,POINT (-108.387916 48.999527)
Morgan,Montana,3319,US-Canada Border,05-1998,Trains,0,49.0,-107.832,POINT (-107.831819 48.999829)
Warroad,Minnesota,3423,US-Canada Border,06-2003,Buses,86,48.999,-95.377,POINT (-95.376555 48.999)
Alcan,Alaska,3104,US-Canada Border,03-1999,Pedestrians,0,62.615,-141.001,POINT (-141.001444 62.614961)
Detroit,Michigan,3801,US-Canada Border,02-2021,Trains,128,42.332,-83.048,POINT (-83.047924 42.331685)
Laredo,Texas,2304,US-Mexico Border,01-2022,Trains,369,27.5,-99.507,POINT (-99.507412 27.499561)
Turner,Montana,3306,US-Canada Border,02-2020,Buses,1,49.0,-108.388,POINT (-108.387916 48.999527)
Wildhorse,Montana,3323,US-Canada Border,08-2019,Trucks,208,48.999,-110.215,POINT (-110.215083 48.999361)
Roma,Texas,2310,US-Mexico Border,07-2022,Buses,18,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,10-2020,Bus Passengers,35,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,01-2007,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
